This is sort by Life Expectancyfor the year 2000.
('Barbados', 74.8, 15400.0)
('Albania', 74.9, 5440.0)
('Czech Republic', 75.0, 21200.0)
('Nicaragua', 75.0, 3420.0)
('Bosnia and Herzegovina', 75.3, 6350.0)
('Lebanon', 75.4, 10600.0)
('Slovenia', 76.0, 22700.0)
('South Korea', 76.3, 20800.0)
('Ireland', 76.6, 39400.0)
('Portugal', 76.7, 26000.0)
('Cuba', 76.8, 4880.0)
('Cyprus', 76.8, 29400.0)
('Chile', 76.9, 14200.0)
('United States', 76.9, 45700.0)
('Denmark', 77.0, 42300.0)
('Panama', 77.4, 10600.0)
('Belgium', 77.8, 37200.0)
('Finland', 77.8, 34900.0)
('Costa Rica', 77.9, 9790.0)
('Luxembourg', 78.0, 81700.0)
('United Kingdom', 78.0, 33200.0)
('Netherlands', 78.1, 42000.0)
('Austria', 78.3, 38800.0)
('Germany', 78.3, 36800.0)
('New Zealand', 78.3, 28100.0)
('Malta', 78.5, 24600.0)
('Kuwait', 78.6, 70100.0)
('Norway', 78.6, 58000.0)
('Israel', 78.7, 26800.0)
('Greece', 78.8, 24800.0)
('France', 79.1, 34700.0)
('Canada', 79.2, 37500.0)
('Singapore', 79.3, 52400.0)
('Spain', 79.4, 30000.0)
('Australia', 79.5, 35400.0)
('Italy', 79.6, 36500.0)
('Sweden', 79.8, 36900.0)
('Iceland', 80.1, 35000.0)
('Switzerland', 80.1, 50800.0)
('Andorra', 81.2, 31700.0)
('Japan', 81.4, 33900.0)

This is sort by Life Expectancyfor the year 2001.
('Central African Republic', 44.3, 869.0)
('Malawi', 44.9, 819.0)
('Burundi', 45.7, 716.0)
('Zambia', 46.1, 2180.0)
('Zimbabwe', 46.2, 2980.0)
('Eswatini', 46.5, 6180.0)
('Lesotho', 47.7, 1690.0)
('Uganda', 50.0, 1090.0)
('Mozambique', 50.6, 628.0)
('Rwanda', 50.8, 840.0)
('Sierra Leone', 51.4, 821.0)
('Chad', 52.3, 1070.0)
('Guinea-Bissau', 52.3, 1410.0)
('Angola', 52.4, 3920.0)
('Niger', 52.4, 780.0)
("Cote d'Ivoire", 52.7, 2920.0)
('Botswana', 52.8, 10500.0)
('Burkina Faso', 52.8, 1110.0)
('Ethiopia', 53.0, 654.0)
('Somalia', 53.0, 603.0)
('"Congo, Rep."', 53.6, 4660.0)
('Namibia', 53.9, 6510.0)
('Mali', 54.0, 1640.0)
('"Congo, Dem. Rep."', 54.1, 545.0)
('Tanzania', 54.1, 1620.0)
('Eritrea', 54.5, 2610.0)
('Cameroon', 54.7, 2610.0)
('Afghanistan', 54.8, 646.0)
('Guinea', 54.8, 1540.0)
('South Africa', 54.9, 9830.0)
('South Sudan', 55.1, 2890.0)
('Liberia', 55.2, 1310.0)
('Nigeria', 55.4, 3170.0)
('Kenya', 55.7, 2120.0)
('Papua New Guinea', 55.9, 2560.0)
('Togo', 56.7, 1180.0)
('Equatorial Guinea', 57.3, 17700.0)
('Lao', 57.6, 2590.0)
('Benin', 57.7, 1700.0)
('Haiti', 57.9, 1710.0)
('Gabon', 59.0, 17800.0)
('Myanmar', 59.1, 1420.0)
('Ghana', 59.4, 2250.0)
('Kiribati', 59.5, 1930.0)
('Madagascar', 59.6, 1480.0)
('Cambodia', 60.8, 1460.0)
('Djibouti', 60.8, 2160.0)
('Senegal', 61.2, 2470.0)
('Solomon Islands', 61.3, 1630.0)
('Gambia', 61.9, 1490.0)
('Marshall Islands', 62.0, 3090.0)
('North Korea', 62.0, 1670.0)
('Pakistan', 62.1, 3380.0)
('Mongolia', 62.4, 4750.0)
('Comoros', 62.5, 2390.0)
('India', 63.3, 2790.0)
('Vanuatu', 63.3, 2670.0)
('Sudan', 63.8, 2400.0)
('Mauritania', 63.9, 2810.0)
('Yemen', 63.9, 4030.0)
('Sao Tome and Principe', 65.0, 1970.0)
('Kazakhstan', 65.5, 11300.0)
('Russia', 65.5, 14800.0)
('Timor-Leste', 65.8, 3500.0)
('"Micronesia, Fed. Sts."', 65.9, 3180.0)
('Bangladesh', 66.1, 1750.0)
('Guyana', 66.2, 4730.0)
('Fiji', 66.3, 6790.0)
('Nepal', 66.4, 1570.0)
